"","AU","TI","SO","DT","DT2","DI","SN","PN","PP","PU","VL","PY","DB","TC","CR","C1","AU_UN","SR_FULL","SR"
"G CHESTERS GC, 1989, -a-b-c-d-e","G CHESTERS GC;GV SIMSIMAN GVS;J LEVY JL;BJ ALHAJJAR BJA;","ENVIRONMENTAL FATE OF ALACHLOR AND METOLACHLOR","REVIEWS OF ",NA,"ARTICLE",NA,NA,NA,NA,"SPRINGER",NA,1989,"ISI",NA,"none",NA,NA,"G CHESTERS GC, 1989, ","G CHESTERS GC, 1989, -a-b-c-d-e"
"G CHESTERS GC, 1991, -a-b-c-d","G CHESTERS GC;J LEVY JL;DP GUSTAFSON DPG;HW READ HWR;","SOURCES AND EXTENT OF ATRAZINE CONTAMINATION OF GROUNDWATER AT GRADE A DAIRY FARMS IN DANE COUNTY, WI",NA,"CITATION","BOOK",NA,NA,NA,NA,"WISCONSIN DEPARTMENT OF NATURAL ",NA,1991,"ISI",NA,"none",NA,NA,"G CHESTERS GC, 1991, ","G CHESTERS GC, 1991, -a-b-c-d"
"G CHESTERS GC, 1990, -a-b-c-d","G CHESTERS GC;GV SIMSIMAN GVS;RN FATHULLA RNF;","DEGRADATION OF ATRAZINE, ALACHLOR, METOLACHLOR IN SOILS AND AQUIFER MATERIALS",NA,"CITATION","BOOK",NA,NA,NA,NA,"WISCONSIN DEPARTMENT OF NATURAL ",NA,1990,"ISI",NA,"none",NA,NA,"G CHESTERS GC, 1990, ","G CHESTERS GC, 1990, -a-b-c-d"
"R CHATTERJEE RC, 2009, ","R CHATTERJEE RC;BK GUPTA BKG;SK MOHIDDIN SKM;PN SINGH PNS;","DYNAMIC GROUNDWATER RESOURCES OF NATIONAL CAPITAL TERRITORY, DELHI: ASSESSMENT, DEVELOPMENT AND MANAGEMENT OPTIONS","ENVIRONMENTAL EARTH ",NA,"ARTICLE",NA,NA,NA,NA,"SPRINGER",NA,2009,"ISI",NA,"none",NA,NA,"R CHATTERJEE RC, 2009, ","R CHATTERJEE RC, 2009, "
"GS YADAV GSY, 1997, ","GS YADAV GSY;PN SINGH PNS;KM SRIVASTAVA KMS","FAST METHOD OF RESISTIVITY SOUNDING FOR SHALLOW GROUNDWATER INVESTIGATIONS","JOURNAL OF APPLIED GEOPHYSICS",NA,"ARTICLE",NA,NA,NA,NA,"ELSEVIER",NA,1997,"ISI",NA,"none",NA,NA,"GS YADAV GSY, 1997, ","GS YADAV GSY, 1997, "
"PN SINGH PNS, 2008, ","PN SINGH PNS;WW WALLENDER WWW","EFFECTS OF ADSORBED WATER LAYER IN PREDICTING SATURATED HYDRAULIC CONDUCTIVITY FOR CLAYS WITH KOZENYCARMAN EQUATION","JOURNAL OF GEOTECHNICAL AND ",NA,"ARTICLE",NA,NA,NA,NA,"ASCELIBRARY.ORG",NA,2008,"ISI",NA,"none",NA,NA,"PN SINGH PNS, 2008, ","PN SINGH PNS, 2008, "
", 2006, ",";SK MOHIDDIN SKM;PN SINGH PNS","VARIATION IN CONCENTRATION OF FLUORIDE IN THE GROUNDWATER OF SOUTH-WEST DISTRICT, NCT DELHIA CASE STUDY"," OF GROUNDWATER ","CITATION","ARTICLE",NA,NA,NA,NA,"IK INTERNATIONAL NEW DELHI",NA,2006,"ISI",NA,"none",NA,NA,", 2006, ",", 2006, "
"MP MANETA MPM, 2009, ","MP MANETA MPM;PN SINGH PNS;M TORRES MT;WW WALLENDER WWW;","A PARSIMONIOUS CROPWATER PRODUCTIVITY INDEX: AN APPLICATION TO BRAZIL","AREA",NA,"ARTICLE",NA,NA,NA,NA,"WILEY ONLINE LIBRARY",NA,2009,"ISI",NA,"none",NA,NA,"MP MANETA MPM, 2009, ","MP MANETA MPM, 2009, "
"PN SINGH PNS, 2009, ","PN SINGH PNS;WW WALLENDER WWW;MP MANETA MPM;","SUSTAINABLE ROOT ZONE SALINITY AND SHALLOW WATER TABLE IN THE CONTEXT OF LAND RETIREMENT","JOURNAL OF IRRIGATION ",NA,"ARTICLE",NA,NA,NA,NA,"ASCELIBRARY.ORG",NA,2009,"ISI",NA,"none",NA,NA,"PN SINGH PNS, 2009, ","PN SINGH PNS, 2009, "
"PN SINGH PNS, 2010, ","PN SINGH PNS;WW WALLENDER WWW","EFFECTS OF SOIL WATER SALINITY ON FIELD SOIL HYDRAULIC FUNCTIONS","JOURNAL OF IRRIGATION AND DRAINAGE ",NA,"ARTICLE",NA,NA,NA,NA,"ASCELIBRARY.ORG",NA,2010,"ISI",NA,"none",NA,NA,"PN SINGH PNS, 2010, ","PN SINGH PNS, 2010, "
"PN SINGH PNS, 1989, ","PN SINGH PNS","GROUND WATER FLOW IN SOUTHERN PART OF KOSI ALLUVIAL FAN AND ITS EFFECT ON WATERLOGGING, WITH POSSIBLE REMEDIAL MEASURES, DISTRICT SAHARSA, BIHAR, INDIA"," FOR DEVELOPMENT AND MANAGEMENT OF GROUNDWATER ","CITATION","ARTICLE",NA,NA,NA,NA,NA,NA,1989,"ISI",NA,"none",NA,NA,"PN SINGH PNS, 1989, ","PN SINGH PNS, 1989, "
"PN SINGH PNS, 2006, ","PN SINGH PNS;WW WALLENDER WWW","LAND SUBSIDENCE, INTER-PARTICLE CONTACT STRESS AND SATURATED HYDRAULIC CONDUCTIVITY","AGU FALL MEETING ABSTRACTS",NA,"ARTICLE",NA,NA,NA,NA,"ADSABS.HARVARD.EDU",NA,2006,"ISI",NA,"none",NA,NA,"PN SINGH PNS, 2006, ","PN SINGH PNS, 2006, "
"PN SINGH PNS, 2011, ","PN SINGH PNS;JP MITCHELL JPM;","PARAMETER OPTIMIZATION FOR PREDICTING SOIL WATER MOVEMENT UNDER CROP RESIDUE COVER","TRANSACTIONS OF THE ",NA,"ARTICLE",NA,NA,NA,NA,"ELIBRARY.ASABE.ORG",NA,2011,"ISI",NA,"none",NA,NA,"PN SINGH PNS, 2011, ","PN SINGH PNS, 2011, "
"PN SINGH PNS, 2007, ","PN SINGH PNS;WW WALLENDER WWW","LAND RETIREMENT AS A HABITAT RESTORATION TOOL","AGU FALL MEETING ABSTRACTS",NA,"ARTICLE",NA,NA,NA,NA,"ADSABS.HARVARD.EDU",NA,2007,"ISI",NA,"none",NA,NA,"PN SINGH PNS, 2007, ","PN SINGH PNS, 2007, "
"PN SINGH PNS, 2014, ","PN SINGH PNS","MANAGEMENT OF GROUND WATER IN NATIONAL CAPITAL REGION",NA,"PDF","BOOK",NA,NA,NA,NA,"RESEARCHGATE.NET",NA,2014,"ISI",NA,"none",NA,NA,"PN SINGH PNS, 2014, ","PN SINGH PNS, 2014, "
"PN SINGH PNS, 2009, -a","PN SINGH PNS;WW WALLENDER WWW","LAND RETIREMENT IN THE WEST SAN JOAQUIN VALLEY: ROLE OF SOIL HYDRAULIC PROPERTIES AND ATTENUATION FOR SUSTAINABLE ROOT ZONE SALINITY","2009 RENO, NEVADA, JUNE 21-JUNE ",NA,"ARTICLE",NA,NA,NA,NA,"ELIBRARY.ASABE.ORG",NA,2009,"ISI",NA,"none",NA,NA,"PN SINGH PNS, 2009, ","PN SINGH PNS, 2009, -a"
"PN SINGH PNS, 2006, -a","PN SINGH PNS;WW WALLENDER WWW","MODIFYING KOZENY-CARMAN EQUATION FOR EVALUATING SATURATED HYDRAULIC CONDUCTIVITY IN CLAY WITH ADSORBED WATER LAYERS","2006 ASAE ANNUAL MEETING",NA,"ARTICLE",NA,NA,NA,NA,"ELIBRARY.ASABE.ORG",NA,2006,"ISI",NA,"none",NA,NA,"PN SINGH PNS, 2006, ","PN SINGH PNS, 2006, -a"
", 1997, -a",";SM SHARAFELDIN SMS;HI HASSANEIN HIH;GS YADAV GSY;PN SINGH PNS;","METHODS FOR MODELLING ELECTROMAGNETIC FIELDS","JOURNAL OF APPLIED ","CITATION","ARTICLE",NA,NA,NA,NA,NA,NA,1997,"ISI",NA,"none",NA,NA,", 1997, ",", 1997, -a"
", 2010, ",";AA GOMEZ AAG;KP SINGH KPS;A SUMAN AS;PN SINGH PNS;","IMPACT OF BIOCHAR AMENDMENT ON FERTILITY OF A SOUTHEASTERN COASTAL PLAIN SOIL.","INTERNATIONAL JOURNAL OF ","CITATION","ARTICLE",NA,NA,NA,NA,"ORGZ",NA,2010,"ISI",NA,"none",NA,NA,", 2010, ",", 2010, "
"SPN SINGH SPNS, 1992, ","SPN SINGH SPNS;SV MATTIGOD SVM","MODELING BORON ADSORPTION ON KAOLINITE","CLAYS AND CLAY MINERALS",NA,"ARTICLE",NA,NA,NA,NA,"SPRINGER",NA,1992,"ISI",NA,"none",NA,NA,"SPN SINGH SPNS, 1992, ","SPN SINGH SPNS, 1992, "
"RL JOLLEY RLJ, 1991, ","RL JOLLEY RLJ;MI MORRIS MIM;SPN SINGH SPNS","GUIDANCE MANUAL FOR CONDUCTING TECHNOLOGY DEMONSTRATION ACTIVITIES",NA,NA,"BOOK",NA,NA,NA,NA,"OSTI.GOV",NA,1991,"ISI",NA,"none",NA,NA,"RL JOLLEY RLJ, 1991, ","RL JOLLEY RLJ, 1991, "
"S KANDALAI SK, 2018, ","S KANDALAI SK;PN SINGH PNS;KK SINGH KKS","PERMEABILITY OF GRANULAR SOIL EMPLOYING FLEXIBLE WALL PERMEAMETER","ARABIAN JOURNAL OF GEOSCIENCES",NA,"ARTICLE",NA,NA,NA,NA,"SPRINGER",NA,2018,"ISI",NA,"none",NA,NA,"S KANDALAI SK, 2018, ","S KANDALAI SK, 2018, "
"PN SINGH PNS, 2005, ","PN SINGH PNS","LAND SUBSIDENCE, STORAGE AND HYDRAULIC PROPERTIES OF AN AQUIFER",NA,"BOOK","BOOK",NA,NA,NA,NA,"SEARCH.PROQUEST.COM",NA,2005,"ISI",NA,"none",NA,NA,"PN SINGH PNS, 2005, ","PN SINGH PNS, 2005, "
", 2009, ",";JN REDDY JNR;KK DAS KKD;PC RAM PCR;PN SINGH PNS;","BIOPHYSICAL CONSTRAINTS IN FLOOD-PRONE ECOSYSTEMS: IMPACTS AND PROSPECTS FOR ENHANCING AND SUSTAINING PRODUCTIVITY"," FOR POVERTY REDUCTION ","PDF","ARTICLE",NA,NA,NA,NA,"RESEARCHGATE.NET",NA,2009,"ISI",NA,"none",NA,NA,", 2009, ",", 2009, "
"SK SHUKLA SKS, 2012, ","SK SHUKLA SKS;PN SINGH PNS;RS CHAUHAN RSC;","RECYCLING OF ORGANIC WASTES AMENDED WITH TRICHODERMA AND GLUCONACETOBACTER FOR SUSTENANCE IN SOIL HEALTH AND SUGARCANE RATOON YIELD IN UDIC USTOCHREPT","COMMUNICATIONS IN SOIL ",NA,"ARTICLE",NA,NA,NA,NA,"TAYLOR \& FRANCIS",NA,2012,"ISI",NA,"none",NA,NA,"SK SHUKLA SKS, 2012, ","SK SHUKLA SKS, 2012, "
", NA, -a",";AL RATHOUR ALR;D JENA DJ;B MANDAL BM;PC RAM PCR;PN SINGH PNS;","MANAGING SOIL AND WATER FOR ENHANCED AGRICULTURAL PRODUCTIVITY","RESEARCHGATE.NET","PDF","ARTICLE",NA,NA,NA,NA,NA,NA,NA,"ISI",NA,"none",NA,NA,", NA, ",", NA, -a"
"JD SKALBECK JDS, 2007, ","JD SKALBECK JDS;JN COUCH JNC;RS HELGESEN RSH;","COUPLED MODELING OF GRAVITY AND AEROMAGNETIC DATA TO ESTIMATE SUBSURFACE BASEMENT TOPOGRAPHY IN SOUTHEASTERN WISCONSIN","GEOSCI. WIS.","PDF","ARTICLE",NA,NA,NA,NA,"RESEARCHGATE.NET",NA,2007,"ISI",NA,"none",NA,NA,"JD SKALBECK JDS, 2007, ","JD SKALBECK JDS, 2007, "
"JD SKALBECK JDS, NA, ","JD SKALBECK JDS","COUPLED MODELING OF GRAVITY AND AEROMAGNETIC DATA FOR ANALYSIS OF THE WAUKESHA FAULT, SOUTHEASTERN WISCONSIN","RESEARCHGATE.NET","PDF","ARTICLE",NA,NA,NA,NA,NA,NA,NA,"ISI",NA,"none",NA,NA,"JD SKALBECK JDS, NA, ","JD SKALBECK JDS, NA, "
"KO SLANE KOS, 1988, ","KO SLANE KOS","THE USE OF GROUNDWATER MODELS TO PREDICT GROUNDWATER MOUNDING BENEATH PROPOSED GROUNDWATER GRADIENT CONTROL SYSTEMS FOR SANITARY LANDFILL ",NA,"CITATION","BOOK",NA,NA,NA,NA,"MINDS.WISCONSIN.EDU",NA,1988,"ISI",NA,"none",NA,NA,"KO SLANE KOS, 1988, ","KO SLANE KOS, 1988, "
"T GRUNDL TG, 1993, -a","T GRUNDL TG;G SMALL GS","MINERAL CONTRIBUTIONS TO ATRAZINE AND ALACHLOR SORPTION IN SOIL MIXTURES OF VARIABLE ORGANIC CARBON AND CLAY CONTENT","JOURNAL OF CONTAMINANT HYDROLOGY",NA,"ARTICLE",NA,NA,NA,NA,"ELSEVIER",NA,1993,"ISI",NA,"none",NA,NA,"T GRUNDL TG, 1993, ","T GRUNDL TG, 1993, -a"
"GL SMALL GLS, 1992, ","GL SMALL GLS","THE SORPTIVE BEHAVIOR OF ATRAZINE IN ORGANIC POOR SOILS",NA,"CITATION","BOOK",NA,NA,NA,NA,"UNIVERSITY OF WISCONSIN-MILWAUKEE",NA,1992,"ISI",NA,"none",NA,NA,"GL SMALL GLS, 1992, ","GL SMALL GLS, 1992, "
"JB MANCHESTER-NEESVIG JBMN, 2001, ","JB MANCHESTER NEESVIG JBMN;K VALTERS KV;","COMPARISON OF POLYBROMINATED DIPHENYL ETHERS (PBDES) AND POLYCHLORINATED BIPHENYLS (PCBS) IN LAKE MICHIGAN SALMONIDS","SCIENCE \& TECHNOLOGY",NA,"ARTICLE",NA,NA,NA,NA,"ACS PUBLICATIONS",NA,2001,"ISI",NA,"none",NA,NA,"JB MANCHESTER-NEESVIG JBMN, 2001, ","JB MANCHESTER-NEESVIG JBMN, 2001, "
"SM BORN SMB, 1995, ","SM BORN SMB;WC SONZOGNI WCS","INTEGRATED ENVIRONMENTAL MANAGEMENT: STRENGTHENING THE CONCEPTUALIZATION","ENVIRONMENTAL MANAGEMENT",NA,"ARTICLE",NA,NA,NA,NA,"SPRINGER",NA,1995,"ISI",NA,"none",NA,NA,"SM BORN SMB, 1995, ","SM BORN SMB, 1995, "
"WM REPAVICH WMR, 1990, ","WM REPAVICH WMR;WC SONZOGNI WCS;JH STANDRIDGE JHS;","CYANOBACTERIA (BLUE-GREEN ALGAE) IN WISCONSIN WATERS: ACUTE AND CHRONIC TOXICITY","WATER RESEARCH",NA,"ARTICLE",NA,NA,NA,NA,"ELSEVIER",NA,1990,"ISI",NA,"none",NA,NA,"WM REPAVICH WMR, 1990, ","WM REPAVICH WMR, 1990, "
"ME ZORN MEZ, 1997, ","ME ZORN MEZ;RD GIBBONS RDG;WC SONZOGNI WCS","WEIGHTED LEAST-SQUARES APPROACH TO CALCULATING LIMITS OF DETECTION AND QUANTIFICATION BY MODELING VARIABILITY AS A FUNCTION OF CONCENTRATION","ANALYTICAL CHEMISTRY",NA,"ARTICLE",NA,NA,NA,NA,"ACS PUBLICATIONS",NA,1997,"ISI",NA,"none",NA,NA,"ME ZORN MEZ, 1997, ","ME ZORN MEZ, 1997, "
"E DAR ED, 1992, ","E DAR ED;MS KANAREK MSK;HA ANDERSON HAA;","FISH CONSUMPTION AND REPRODUCTIVE OUTCOMES IN GREEN BAY, WISCONSIN","ENVIRONMENTAL RESEARCH",NA,"ARTICLE",NA,NA,NA,NA,"ELSEVIER",NA,1992,"ISI",NA,"none",NA,NA,"E DAR ED, 1992, ","E DAR ED, 1992, "
"E DEVOTO EDV, 1997, ","E DEVOTO EDV;BJ FIORE BJF;R MILLIKAN RM;","CORRELATIONS AMONG HUMAN BLOOD LEVELS OF SPECIFIC PCB CONGENERS AND IMPLICATIONS FOR EPIDEMIOLOGIC STUDIES","AMERICAN JOURNAL OF",NA,"ARTICLE",NA,NA,NA,NA,"WILEY ONLINE LIBRARY",NA,1997,"ISI",NA,"none",NA,NA,"E DEVOTO EDV, 1997, ","E DEVOTO EDV, 1997, "
"ME ZORN MEZ, 1999, ","ME ZORN MEZ;RD GIBBONS RDG;","EVALUATION OF APPROXIMATE METHODS FOR CALCULATING THE LIMIT OF DETECTION AND LIMIT OF QUANTIFICATION","ENVIRONMENTAL SCIENCE \&",NA,"ARTICLE",NA,NA,NA,NA,"ACS PUBLICATIONS",NA,1999,"ISI",NA,"none",NA,NA,"ME ZORN MEZ, 1999, ","ME ZORN MEZ, 1999, "
"MJ PERRY MJP, 2000, ","MJ PERRY MJP;DC CHRISTIANI DCC;J MATHEW JM;","URINALYSIS OF ATRAZINE EXPOSURE IN FARM PESTICIDE APPLICATORS","TOXICOLOGY AND",NA,"ARTICLE",NA,NA,NA,NA,"JOURNALS.SAGEPUB.COM",NA,2000,"ISI",NA,"none",NA,NA,"MJ PERRY MJP, 2000, ","MJ PERRY MJP, 2000, "
"JR LAWRENCE JRL, 1993, -a-b","JR LAWRENCE JRL;M ELDAN ME;WC SONZOGNI WCS","METRIBUZIN AND METABOLITES IN WISCONSIN (USA) WELL WATER","WATER RESEARCH",NA,"ARTICLE",NA,NA,NA,NA,"ELSEVIER",NA,1993,"ISI",NA,"none",NA,NA,"JR LAWRENCE JRL, 1993, ","JR LAWRENCE JRL, 1993, -a-b"
"CJ HEDMAN CJH, 2008, ","CJ HEDMAN CJH;WR KRICK WRK;","NEW MEASUREMENTS OF CYANOBACTERIAL TOXINS IN NATURAL WATERS USING HIGH PERFORMANCE LIQUID CHROMATOGRAPHY COUPLED TO TANDEM MASS SPECTROMETRY","JOURNAL OF",NA,"ARTICLE",NA,NA,NA,NA,"DL.SCIENCESOCIETIES.ORG",NA,2008,"ISI",NA,"none",NA,NA,"CJ HEDMAN CJH, 2008, ","CJ HEDMAN CJH, 2008, "
"RG MASNADO RGM, 1995, -a","RG MASNADO RGM;SW GEIS SWG;","COMPARATIVE ACUTE TOXICITY OF A SYNTHETIC MINE EFFLUENT TO CERIODAPHNIA DUBIA, LARVAL FATHEAD MINNOW AND THE FRESHWATER MUSSEL ANODONTA IMBECILIS","AND CHEMISTRY: AN",NA,"ARTICLE",NA,NA,NA,NA,"WILEY ONLINE LIBRARY",NA,1995,"ISI",NA,"none",NA,NA,"RG MASNADO RGM, 1995, ","RG MASNADO RGM, 1995, -a"
"KM BRO KMB, 1987, ","KM BRO KMB;WC SONZOGNI WCS;ME HANSON MEH","RELATIVE CANCER RISKS OF CHEMICAL CONTAMINANTS IN THE GREAT LAKES","ENVIRONMENTAL MANAGEMENT",NA,"ARTICLE",NA,NA,NA,NA,"SPRINGER",NA,1987,"ISI",NA,"none",NA,NA,"KM BRO KMB, 1987, ","KM BRO KMB, 1987, "
"DJ GRACZYK DJG, 1991, ","DJ GRACZYK DJG;WC SONZOGNI WCS","REDUCTION OF DISSOLVED OXYGEN CONCENTRATION IN WISCONSIN STREAMS DURING SUMMER RUNOFF","JOURNAL OF ENVIRONMENTAL QUALITY",NA,"ARTICLE",NA,NA,NA,NA,"DL.SCIENCESOCIETIES.ORG",NA,1991,"ISI",NA,"none",NA,NA,"DJ GRACZYK DJG, 1991, ","DJ GRACZYK DJG, 1991, "
"M DAVID MD, 1994, ","M DAVID MD;LM BRONDYK LMB;WC SONZOGNI WCS","DISTRIBUTION OF PCB CONGENERS IN SHEBOYGAN RIVER (WISCONSIN) SEDIMENTS","JOURNAL OF GREAT LAKES RESEARCH",NA,"ARTICLE",NA,NA,NA,NA,"ELSEVIER",NA,1994,"ISI",NA,"none",NA,NA,"M DAVID MD, 1994, ","M DAVID MD, 1994, "
"RM KRILL RMK, 1986, ","RM KRILL RMK;WC SONZOGNI WCS","CHEMICAL MONITORING OF WISCONSIN'S GROUNDWATER","JOURNALAMERICAN WATER WORKS",NA,"ARTICLE",NA,NA,NA,NA,"WILEY ONLINE LIBRARY",NA,1986,"ISI",NA,"none",NA,NA,"RM KRILL RMK, 1986, ","RM KRILL RMK, 1986, "
"JF WALKER JFW, 1989, ","JF WALKER JFW;SA PICKARD SAP;","SPREADSHEET WATERSHED MODELING FOR NONPOINTSOURCE POLLUTION MANAGEMENT IN A WISCONSIN BASIN1","JAWRA JOURNAL OF THE",NA,"ARTICLE",NA,NA,NA,NA,"WILEY ONLINE LIBRARY",NA,1989,"ISI",NA,"none",NA,NA,"JF WALKER JFW, 1989, ","JF WALKER JFW, 1989, "
"JE DREWES JED, 2006, ","JE DREWES JED;JDC HEMMING JDCH;JJ SCHAUER JJS;WC SONZOGNI WCS","REMOVAL OF ENDOCRINE DISRUPTING COMPOUNDS IN WATER RECLAMATION PROCESSES","WATER ENVIRONMENT RESEARCH","CITATION","ARTICLE",NA,NA,NA,NA,NA,NA,2006,"ISI",NA,"none",NA,NA,"JE DREWES JED, 2006, ","JE DREWES JED, 2006, "
"SM BORN SMB, 1990, ","SM BORN SMB;WC SONZOGNI WCS;J MAYERS JM;","THE EXCEPTIONAL WATERS APPROACHA FOCUS FOR COORDINATED NATURAL RESOURCES MANAGEMENT","NORTH AMERICAN JOURNAL",NA,"ARTICLE",NA,NA,NA,NA,"WILEY ONLINE LIBRARY",NA,1990,"ISI",NA,"none",NA,NA,"SM BORN SMB, 1990, ","SM BORN SMB, 1990, "
"TM HEIDTKE TMH, 1986, ","TM HEIDTKE TMH;WC SONZOGNI WCS","WATER QUALITY MANAGEMENT FOR THE GREAT LAKES","JOURNAL OF WATER RESOURCES PLANNING",NA,"ARTICLE",NA,NA,NA,NA,"ASCELIBRARY.ORG",NA,1986,"ISI",NA,"none",NA,NA,"TM HEIDTKE TMH, 1986, ","TM HEIDTKE TMH, 1986, "
"WC SONZOGNI WCS, 1988, ","WC SONZOGNI WCS;WM REPAVICH WMR;","A NOTE ON ALGAL TOXINS IN WISCONSIN WATERS EXPERIENCING BLUE-GREEN ALGAL BLOOMS","LAKE AND RESERVOIR",NA,"ARTICLE",NA,NA,NA,NA,"TAYLOR \& FRANCIS",NA,1988,"ISI",NA,"none",NA,NA,"WC SONZOGNI WCS, 1988, ","WC SONZOGNI WCS, 1988, "
"J HAHM JH, 2009, ","J HAHM JH;JB MANCHESTER NEESVIG JBMN;D DEBORD DDB;","POLYBROMINATED DIPHENYL ETHERS (PBDES) IN LAKE MICHIGAN FORAGE FISH","JOURNAL OF GREAT LAKES","HTML","ARTICLE",NA,NA,NA,NA,"ELSEVIER",NA,2009,"ISI",NA,"none",NA,NA,"J HAHM JH, 2009, ","J HAHM JH, 2009, "
"WC SONZOGNI WCS, 1986, ","WC SONZOGNI WCS;TM HEIDTKE TMH","EFFECT OF INFLUENT PHOSPHORUS REDUCTIONS ON GREAT LAKES SEWAGE TREATMENT COSTS1","JAWRA JOURNAL OF THE AMERICAN",NA,"ARTICLE",NA,NA,NA,NA,"WILEY ONLINE LIBRARY",NA,1986,"ISI",NA,"none",NA,NA,"WC SONZOGNI WCS, 1986, ","WC SONZOGNI WCS, 1986, "
"WC SONZOGNI WCS, 2006, ","WC SONZOGNI WCS;JDC HEMMING JDCH;MAE BARMAN MAEB;","OCCURENCE OF ESTROGENIC ENDOCRINE DISRUPTERS IN GROUNDWATER",NA,"CITATION","BOOK",NA,NA,NA,NA,"UNIVERSITY OF WISCONSIN, WATER",NA,2006,"ISI",NA,"none",NA,NA,"WC SONZOGNI WCS, 2006, ","WC SONZOGNI WCS, 2006, "
"RJ NOLL RJN, 1998, ","RJ NOLL RJN;ME ZORN MEZ;J MATHEW JM;WC SONZOGNI WCS","INTERFERING CONTAMINANTS IN CARBON DIOXIDE SOLVENT USED IN THE SUPERCRITICAL FLUID EXTRACTION OF POLYCHLORINATED BIPHENYLS","JOURNAL OF CHROMATOGRAPHY A","HTML","ARTICLE",NA,NA,NA,NA,"ELSEVIER",NA,1998,"ISI",NA,"none",NA,NA,"RJ NOLL RJN, 1998, ","RJ NOLL RJN, 1998, "
"WC SONZOGNI WCS, 2004, -a-b","WC SONZOGNI WCS;A CLARY AC;G BOWMAN GB;","IMPORTANCE OF DISINFECTION ON ARSENIC RELEASE IN WELLS","FINAL REPORT FOR","PDF","ARTICLE",NA,NA,NA,NA,"WRI.WISC.EDU",NA,2004,"ISI",NA,"none",NA,NA,"WC SONZOGNI WCS, 2004, ","WC SONZOGNI WCS, 2004, -a-b"
"JJ SCHAUER JJS, 2003, ","JJ SCHAUER JJS;GC LOUGH GCL;WC SONZOGNI WCS","OUTDOOR AIR POLLUTION ACTIVITIES AT THE WISCONSIN STATE LABORATORY OF HYGIENE","WMJ","PDF","ARTICLE",NA,NA,NA,NA,"WISCONSINMEDICALSOCIETY.ORG",NA,2003,"ISI",NA,"none",NA,NA,"JJ SCHAUER JJS, 2003, ","JJ SCHAUER JJS, 2003, "
"JH STANDRIDGE JHS, 1988, ","JH STANDRIDGE JHS;WC SONZOGNI WCS","EVALUATING MODIFICATIONS TO THE MF TOTAL COLIFORM METHOD FOR DRINKING WATERS WITH HIGH NONCOLIFORM BACKGROUNDS","JOURNALAMERICAN WATER WORKS",NA,"ARTICLE",NA,NA,NA,NA,"WILEY ONLINE LIBRARY",NA,1988,"ISI",NA,"none",NA,NA,"JH STANDRIDGE JHS, 1988, ","JH STANDRIDGE JHS, 1988, "
"JB MANCHESTER-NEESVIG JBMANCHESTERNEESVIG, 2003, ","JB MANCHESTER NEESVIG JBMANCHESTERNEESVIG;","A DEPTH PROFILE OF POLYBROMINATED DIPHENYL ETHERS (PBDES) AND POLYCHLORINATED BIPHENYLS (PCBS) IN SEDIMENTS FROM LAKE MICHIGAN","ORGANOHALOGEN","CITATION","ARTICLE",NA,NA,NA,NA,"FEDERAL ENVIRONMENTAL AGENCY",NA,2003,"ISI",NA,"none",NA,NA,"JB MANCHESTER-NEESVIG JBMANCHESTERNEESVIG, 2003, ","JB MANCHESTER-NEESVIG JBMANCHESTERNEESVIG, 2003, "
"DA KARNER DAK, 2006, ","DA KARNER DAK;MM SHAFER MMS;JT OVERDIER JTO;","AN ALGAL PROBE FOR COPPER SPECIATION IN MARINE WATERS: LABORATORY METHOD DEVELOPMENT","AND CHEMISTRY: AN",NA,"ARTICLE",NA,NA,NA,NA,"WILEY ONLINE LIBRARY",NA,2006,"ISI",NA,"none",NA,NA,"DA KARNER DAK, 2006, ","DA KARNER DAK, 2006, "
"WC SONZOGNI WCS, 2002, ","WC SONZOGNI WCS","PRESERVATION AND SURVIVAL OF E. COLI IN WELL WATER SAMPLES SUBMITTED FOR ROUTINE ANALYSES",NA,"CITATION","BOOK",NA,NA,NA,NA,"WISCONSIN DEPARTMENT OF NATURAL",NA,2002,"ISI",NA,"none",NA,NA,"WC SONZOGNI WCS, 2002, ","WC SONZOGNI WCS, 2002, "
"RJ NOLL RJN, 1997, ","RJ NOLL RJN;ME ZORN MEZ;WC SONZOGNI WCS","NEGATIVE CHROMATOGRAPHIC PEAKS WITH OXYGEN DOPED ELECTRON CAPTURE DETECTION OF POLYCHLORINATED BIPHENYLS","JOURNAL OF CHROMATOGRAPHY A","HTML","ARTICLE",NA,NA,NA,NA,"ELSEVIER",NA,1997,"ISI",NA,"none",NA,NA,"RJ NOLL RJN, 1997, ","RJ NOLL RJN, 1997, "
"J STANDRIDGE JS, 1996, ","J STANDRIDGE JS;M BARMAN MB;WC SONZOGNI WCS","CHARACTERIZATION OF E. COLI AND TOTAL COLIFORM ORGANISMS ISOLATED FROM WISCONSIN WATERS AND REASSESSMENT OF THEIR PUBLIC HEALTH SIGNIFICANCE",NA,NA,"BOOK",NA,NA,NA,NA,"OSTI.GOV",NA,1996,"ISI",NA,"none",NA,NA,"J STANDRIDGE JS, 1996, ","J STANDRIDGE JS, 1996, "
